   team_id    |                     name                     | sport_name |                             logo                             
 NBA-20       | Philadelphia 76ers                           | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/phi.png
 NBA-21       | Phoenix Suns                                 | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/phx.png
 NBA-22       | Portland Trail Blazers                       | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/por.png
 NBA-23       | Sacramento Kings                             | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/sac.png
 NBA-24       | San Antonio Spurs                            | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/sa.png
 NBA-25       | Oklahoma City Thunder                        | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/okc.png
 NBA-26       | Utah Jazz                                    | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/utah.png
 NBA-27       | Washington Wizards                           | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/wsh.png
 NBA-28       | Toronto Raptors                              | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/tor.png
 NBA-29       | Memphis Grizzlies                            | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/mem.png
 NBA-3        | New Orleans Pelicans                         | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/no.png
 NBA-30       | Charlotte Hornets                            | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/cha.png
 NBA-4        | Chicago Bulls                                | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/chi.png
 NBA-5        | Cleveland Cavaliers                          | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/cle.png
 NBA-6        | Dallas Mavericks                             | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/dal.png
 NBA-7        | Denver Nuggets                               | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/den.png
 NBA-8        | Detroit Pistons                              | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/det.png
 NBA-9        | Golden State Warriors                        | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/gs.png
 NBA-99       | Test Team                                    | NBA        | https://sportslogos.com/nba/99.png
 111          | Northeastern Huskies                         | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/111.png
 112358       | Long Island University Sharks                | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png
 113          | Massachusetts Minutemen                      | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/113.png
 127          | Michigan State Spartans                      | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/127.png
 130          | Michigan Wolverines                          | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
 139          | Saint Louis Billikens                        | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/139.png
 140          | Kansas City Roos                             | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/140.png
 142          | Missouri Tigers                              | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/142.png
