   team_id    |                     name                     | sport_name 
 NCAAF-52     | Florida State Seminoles                      | NCAAF
 NCAAF-46     | Georgetown Hoyas                             | NCAAF
 NCAAF-61     | Georgia Bulldogs                             | NCAAF
 NCAAF-59     | Georgia Tech Yellow Jackets                  | NCAAF
 NCAAF-125    | Grand Valley State University Lakers         | NCAAF
 NCAAF-65     | Grinnell Pioneers                            | NCAAF
 NCAAF-146    | Grove City College Wolverines                | NCAAF
 NCAAF-108    | Harvard Crimson                              | NCAAF
 NCAAF-62     | Hawai'i Rainbow Warriors                     | NCAAF
 NCAAF-107    | Holy Cross Crusaders                         | NCAAF
 NCAAF-47     | Howard Bison                                 | NCAAF
 NCAAF-70     | Idaho Vandals                                | NCAAF
 NCAAF-84     | Indiana Hoosiers                             | NCAAF
 NCAAF-66     | Iowa State Cyclones                          | NCAAF
 NCAAF-55     | Jacksonville State Gamecocks                 | NCAAF
 NCAAF-118    | Johns Hopkins University Blue Jays           | NCAAF
 NCAAF-126    | Kalamazoo Hornets                            | NCAAF
 NCAAF-96     | Kentucky Wildcats                            | NCAAF
 NCAAF-99     | LSU Tigers                                   | NCAAF
 NCAAF-97     | Louisville Cardinals                         | NCAAF
 NCAAF-67     | Luther Norse                                 | NCAAF
 NCAAF-109    | MIT Engineers                                | NCAAF
 NCAAF-120    | Maryland Terrapins                           | NCAAF
 NCAAF-110    | Mass Maritime Buccaneers                     | NCAAF
 NCAAF-113    | Massachusetts Minutemen                      | NCAAF
 NCAAF-127    | Michigan State Spartans                      | NCAAF
 NCAAF-130    | Michigan Wolverines                          | NCAAF
 NCAAF-74     | Millikin Big Blue                            | NCAAF
 NCAAF-134    | Minnesota Duluth Bulldogs                    | NCAAF
 NCAAF-135    | Minnesota Golden Gophers                     | NCAAF
 NCAAF-142    | Missouri Tigers                              | NCAAF
 NCAAF-137    | Missouri Western Griffons                    | NCAAF
 NCAAF-149    | Montana Grizzlies                            | NCAAF
 NCAAF-147    | Montana State Bobcats                        | NCAAF
 NCAAF-60     | Morehouse College Maroon Tigers              | NCAAF
 NCAAF-93     | Murray State Racers                          | NCAAF
 NCAAF-75     | North Park Vikings                           | NCAAF
 NCAAF-128    | Northern Michigan Wildcats                   | NCAAF
